årednie kursy USD Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2015-10-12;3.7148;-0.25;198/A/NBP/2015
2015-10-09;3.7242;-0.80;197/A/NBP/2015
2015-10-08;3.7543;-0.16;196/A/NBP/2015
2015-10-07;3.7604;-0.75;195/A/NBP/2015
2015-10-06;3.7890;0.42;194/A/NBP/2015
2015-10-05;3.7730;-0.78;193/A/NBP/2015
2015-10-02;3.8028;0.06;192/A/NBP/2015
2015-10-01;3.8005;0.66;191/A/NBP/2015
2015-09-30;3.7754;-0.12;190/A/NBP/2015
2015-09-29;3.7799;-0.16;189/A/NBP/2015
2015-09-28;3.7861;0.11;188/A/NBP/2015
2015-09-25;3.7818;0.35;187/A/NBP/2015
2015-09-24;3.7687;-0.30;186/A/NBP/2015
2015-09-23;3.7801;0.97;185/A/NBP/2015
2015-09-22;3.7438;0.97;184/A/NBP/2015
2015-09-21;3.7080;0.93;183/A/NBP/2015
2015-09-18;3.6738;-1.05;182/A/NBP/2015
2015-09-17;3.7129;-0.50;181/A/NBP/2015
2015-09-16;3.7315;0.21;180/A/NBP/2015
2015-09-15;3.7238;0.31;179/A/NBP/2015
2015-09-14;3.7124;-0.38;178/A/NBP/2015
2015-09-11;3.7264;-1.02;177/A/NBP/2015
2015-09-10;3.7648;0.04;176/A/NBP/2015
2015-09-09;3.7634;-0.64;175/A/NBP/2015
2015-09-08;3.7878;-0.13;174/A/NBP/2015
2015-09-07;3.7928;-0.06;173/A/NBP/2015
2015-09-04;3.7952;0.82;172/A/NBP/2015
2015-09-03;3.7645;0.05;171/A/NBP/2015
2015-09-02;3.7626;0.33;170/A/NBP/2015
2015-09-01;3.7503;-0.73;169/A/NBP/2015
2015-08-31;3.7780;0.77;168/A/NBP/2015
2015-08-28;3.7493;0.11;167/A/NBP/2015
2015-08-27;3.7450;1.39;166/A/NBP/2015
2015-08-26;3.6937;0.88;165/A/NBP/2015
2015-08-25;3.6613;-0.97;164/A/NBP/2015
2015-08-24;3.6971;-0.90;163/A/NBP/2015
