årednie kursy EUR Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2015-10-12;4.2273;0.24;198/A/NBP/2015
2015-10-09;4.2170;-0.55;197/A/NBP/2015
2015-10-08;4.2405;0.31;196/A/NBP/2015
2015-10-07;4.2272;-0.43;195/A/NBP/2015
2015-10-06;4.2453;-0.05;194/A/NBP/2015
2015-10-05;4.2475;0.06;193/A/NBP/2015
2015-10-02;4.2451;0.03;192/A/NBP/2015
2015-10-01;4.2437;0.12;191/A/NBP/2015
2015-09-30;4.2386;-0.11;190/A/NBP/2015
2015-09-29;4.2434;0.24;189/A/NBP/2015
2015-09-28;4.2334;0.52;188/A/NBP/2015
2015-09-25;4.2115;-0.20;187/A/NBP/2015
2015-09-24;4.2200;0.46;186/A/NBP/2015
2015-09-23;4.2007;0.20;185/A/NBP/2015
2015-09-22;4.1924;0.07;184/A/NBP/2015
2015-09-21;4.1896;-0.39;183/A/NBP/2015
2015-09-18;4.2059;-0.01;182/A/NBP/2015
2015-09-17;4.2065;0.17;181/A/NBP/2015
2015-09-16;4.1994;-0.24;180/A/NBP/2015
2015-09-15;4.2094;0.01;179/A/NBP/2015
2015-09-14;4.2090;0.02;178/A/NBP/2015
2015-09-11;4.2080;-0.17;177/A/NBP/2015
2015-09-10;4.2153;0.06;176/A/NBP/2015
2015-09-09;4.2129;-0.55;175/A/NBP/2015
2015-09-08;4.2360;0.06;174/A/NBP/2015
2015-09-07;4.2335;0.11;173/A/NBP/2015
2015-09-04;4.2290;-0.06;172/A/NBP/2015
2015-09-03;4.2314;-0.30;171/A/NBP/2015
2015-09-02;4.2440;0.34;170/A/NBP/2015
2015-09-01;4.2297;-0.11;169/A/NBP/2015
2015-08-31;4.2344;0.04;168/A/NBP/2015
2015-08-28;4.2325;0.17;167/A/NBP/2015
2015-08-27;4.2255;-0.30;166/A/NBP/2015
2015-08-26;4.2381;0.17;165/A/NBP/2015
2015-08-25;4.2309;-0.19;164/A/NBP/2015
2015-08-24;4.2390;0.89;163/A/NBP/2015
2015-08-21;4.2014;0.16;162/A/NBP/2015
2015-08-20;4.1946;0.61;161/A/NBP/2015
2015-08-19;4.1690;0.18;160/A/NBP/2015
2015-08-18;4.1616;-0.38;159/A/NBP/2015
2015-08-17;4.1775;-0.18;158/A/NBP/2015
2015-08-14;4.1849;0.06;157/A/NBP/2015
2015-08-13;4.1822;-0.64;156/A/NBP/2015
2015-08-12;4.2093;0.14;155/A/NBP/2015
2015-08-11;4.2035;0.24;154/A/NBP/2015
2015-08-10;4.1933;0.16;153/A/NBP/2015
2015-08-07;4.1868;0.17;152/A/NBP/2015
2015-08-06;4.1798;0.34;151/A/NBP/2015
2015-08-05;4.1655;0.46;150/A/NBP/2015
2015-08-04;4.1463;0.25;149/A/NBP/2015
2015-08-03;4.1360;-0.31;148/A/NBP/2015
2015-07-31;4.1488;0.14;147/A/NBP/2015
2015-07-30;4.1429;-0.06;146/A/NBP/2015
2015-07-29;4.1452;0.42;145/A/NBP/2015
2015-07-28;4.1280;-0.52;144/A/NBP/2015
