årednie kursy CHF Narodowego Banku Polskiego

Data;Kurs;Zmiana;Nazwa Tabeli
2015-10-12;3.8644;0.03;198/A/NBP/2015
2015-10-09;3.8631;-0.36;197/A/NBP/2015
2015-10-08;3.8772;-0.25;196/A/NBP/2015
2015-10-07;3.8869;-0.01;195/A/NBP/2015
2015-10-06;3.8873;0.02;194/A/NBP/2015
2015-10-05;3.8864;-0.05;193/A/NBP/2015
2015-10-02;3.8885;-0.01;192/A/NBP/2015
2015-10-01;3.8890;0.27;191/A/NBP/2015
2015-09-30;3.8785;-0.32;190/A/NBP/2015
2015-09-29;3.8909;0.65;189/A/NBP/2015
2015-09-28;3.8656;0.48;188/A/NBP/2015
2015-09-25;3.8473;-0.31;187/A/NBP/2015
2015-09-24;3.8593;-0.10;186/A/NBP/2015
2015-09-23;3.8632;0.29;185/A/NBP/2015
2015-09-22;3.8522;0.42;184/A/NBP/2015
2015-09-21;3.8359;0.00;183/A/NBP/2015
2015-09-18;3.8359;-0.02;182/A/NBP/2015
2015-09-17;3.8368;0.02;181/A/NBP/2015
2015-09-16;3.8361;-0.15;180/A/NBP/2015
2015-09-15;3.8417;0.38;179/A/NBP/2015
2015-09-14;3.8272;-0.04;178/A/NBP/2015
2015-09-11;3.8289;-0.73;177/A/NBP/2015
2015-09-10;3.8570;-0.25;176/A/NBP/2015
2015-09-09;3.8666;-0.46;175/A/NBP/2015
2015-09-08;3.8843;-0.36;174/A/NBP/2015
2015-09-07;3.8983;0.00;173/A/NBP/2015
2015-09-04;3.8982;0.37;172/A/NBP/2015
2015-09-03;3.8840;-0.58;171/A/NBP/2015
2015-09-02;3.9065;0.21;170/A/NBP/2015
2015-09-01;3.8985;-0.64;169/A/NBP/2015
2015-08-31;3.9238;0.64;168/A/NBP/2015
2015-08-28;3.8988;-0.69;167/A/NBP/2015
2015-08-27;3.9260;0.20;166/A/NBP/2015
2015-08-26;3.9180;0.53;165/A/NBP/2015
2015-08-25;3.8973;-0.40;164/A/NBP/2015
2015-08-24;3.9129;0.34;163/A/NBP/2015
2015-08-21;3.8998;-0.26;162/A/NBP/2015
2015-08-20;3.9098;0.97;161/A/NBP/2015
2015-08-19;3.8724;0.58;160/A/NBP/2015
2015-08-18;3.8499;-0.11;159/A/NBP/2015
2015-08-17;3.8540;0.07;158/A/NBP/2015
2015-08-14;3.8514;0.09;157/A/NBP/2015
2015-08-13;3.8480;-0.25;156/A/NBP/2015
2015-08-12;3.8575;-0.49;155/A/NBP/2015
2015-08-11;3.8765;-0.44;154/A/NBP/2015
2015-08-10;3.8937;-0.13;153/A/NBP/2015
2015-08-07;3.8989;-0.11;152/A/NBP/2015
2015-08-06;3.9033;-0.28;151/A/NBP/2015
2015-08-05;3.9144;0.22;150/A/NBP/2015
2015-08-04;3.9059;0.21;149/A/NBP/2015
2015-08-03;3.8977;-0.96;148/A/NBP/2015
2015-07-31;3.9355;1.10;147/A/NBP/2015
2015-07-30;3.8928;-0.05;146/A/NBP/2015
2015-07-29;3.8946;0.69;145/A/NBP/2015
2015-07-28;3.8679;-1.20;144/A/NBP/2015
2015-07-27;3.9150;-0.02;143/A/NBP/2015
2015-07-24;3.9159;-0.50;142/A/NBP/2015
2015-07-23;3.9357;0.22;141/A/NBP/2015
2015-07-22;3.9269;-0.34;140/A/NBP/2015
2015-07-21;3.9402;0.13;139/A/NBP/2015
2015-07-20;3.9350;0.05;138/A/NBP/2015
2015-07-17;3.9332;-0.35;137/A/NBP/2015
2015-07-16;3.9469;-0.32;136/A/NBP/2015
2015-07-15;3.9595;-0.79;135/A/NBP/2015
2015-07-14;3.9911;0.69;134/A/NBP/2015
2015-07-13;3.9636;-1.11;133/A/NBP/2015
2015-07-10;4.0081;-0.55;132/A/NBP/2015
2015-07-09;4.0304;-0.59;131/A/NBP/2015
2015-07-08;4.0545;0.25;130/A/NBP/2015
2015-07-07;4.0443;0.62;129/A/NBP/2015
2015-07-06;4.0193;0.39;128/A/NBP/2015
2015-07-03;4.0038;0.16;127/A/NBP/2015
2015-07-02;3.9974;-0.31;126/A/NBP/2015
2015-07-01;4.0097;-0.78;125/A/NBP/2015
2015-06-30;4.0412;0.51;124/A/NBP/2015
2015-06-29;4.0208;0.62;123/A/NBP/2015
2015-06-26;3.9960;0.35;122/A/NBP/2015
